"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"현대 현대 제네시스 G80 THE ALL NEW GENESIS G80 (G) 3.5T",0674,192허4779,비크블랙,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250822002028.JPG,68179,3510,"THE ALL NEW GENESIS G80 (G) 3.5T",68179,2023,"롯데 경매장",KMTGC41DBPU174885,"A / C"
"삼성 QM6 THE NEW QM6 (L) 2.0 2WD PREMIERE",0675,336도3034,기타,LPG,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250819001228.JPG,23338,2120,"THE NEW QM6 (L) 2.0 2WD PREMIERE",23338,2022,"롯데 경매장",KNME5C2C0NP078812,"A / B"
"현대 스타리아 STARIA (D) 2.2 카고 5인승 모던",0676,841머8256,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250829000428.JPG,159953,1410,"STARIA (D) 2.2 카고 5인승 모던",159953,2022,"롯데 경매장",KMFYCX71BNU064230,"F / D"
"현대 아이오닉5 IONIQ 5 (E) 롱레인지 프레스티지 2WD",0677,41하0662,"팬텀 블랙 펄",전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250818002528.JPG,80809,2590,"IONIQ 5 (E) 롱레인지 프레스티지 2WD",80809,2022,"롯데 경매장",KMHKR81AFNU025845,"A / D"
"현대 코나 KONA ELECTRIC (E) MODERN",0678,29하2072,쵸크화이트,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250714001728.JPG,171856,750,"KONA ELECTRIC (E) MODERN",171856,2019,"롯데 경매장",KMHK281GFKU042063,"B / D"
"기아 올 뉴 프라이드 PRIDE (G) 1.6 4DOOR 럭셔리",0679,48두9671,기타,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250821000828.JPG,198122,250,"PRIDE (G) 1.6 4DOOR 럭셔리",198122,2013,"롯데 경매장",KNADN413BDS179675,"B / F"
"현대 올 뉴 아반떼 ALL NEW AVANTE (H) 1.6 SMART",0680,155하9181,"일렉트릭 그레이",가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250828009328.JPG,147484,1050,"ALL NEW AVANTE (H) 1.6 SMART",147484,2021,"롯데 경매장",KMHLL41JGMU014959,"C / F"
"현대 포터 PORTER II (D) 2.5 일반캡 초장축 스마트 2WD",0681,802가6554,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250827000328.JPG,79091,1350,"PORTER II (D) 2.5 일반캡 초장축 스마트 2WD",79091,2023,"롯데 경매장",KMFZCX7KBPU042843,"A / F"
"기아 쏘렌토 MQ4 SORENTO MQ4 (D) 2.2 프레스티지 5인승",0682,153호5760,플라티늄그라파이트,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250822001428.JPG,56224,2290,"SORENTO MQ4 (D) 2.2 프레스티지 5인승",56224,2021,"롯데 경매장",KNARL81BGMA073351,"A / D"
"현대 더뉴 그랜드 스타렉스  THE NEW GRAND STAREX(D)2.5 어반 프리미엄 9인",0683,104호5311,타임리스블랙,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250609044228.JPG,108820,1690,"THE NEW GRAND STAREX(D)2.5 어반 프리미엄 9인",108820,2020,"롯데 경매장",KMHWG81KDLU150414,"A / F"
"기아 셀토스 SELTOS (D) 1.6 시그니처 2WD",0684,246러5229,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250806001828.JPG,103678,1560,"SELTOS (D) 1.6 시그니처 2WD",103678,2022,"롯데 경매장",KNAES815GNK305359,"A / C"
"기아 쏘렌토 MQ4 SORENTO MQ4 (D) 2.2 프레스티지 5인승 4WD",0685,160허5083,오로라블랙펄,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250826007128.JPG,78407,2670,"SORENTO MQ4 (D) 2.2 프레스티지 5인승 4WD",78407,2021,"롯데 경매장",KNARL81BHMA097784,"A / D"
"정보없음 마이티 MIGHTY",0686,90마1185,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250821004828.JPG,213643,420,MIGHTY,213643,2017,"롯데 경매장",KRGPAMF2JHB000162,"A / F"
