"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 더 뉴 봉고3 1톤 카고(화물)트럭 LPI 킹캡",3573,86더8260,수동,자가용,image,33626,990,"기아 더 뉴 봉고3 1톤 카고(화물)트럭 LPI 킹캡",흰색,2022,"오토허브 경매장",,AB
"현대 포터2 1톤 하이냉동탑차 슈퍼캡 트윈컴프",3574,95우9382,수동,자가용,image,251270,470,"현대 포터2 1톤 하이냉동탑차 슈퍼캡 트윈컴프",흰색,2014,"오토허브 경매장",,AD
"혼다 올뉴어코드 2.4 9세대 (13년~현재)",3575,53무1021,오토,자가용,image,174879,1095,"혼다 올뉴어코드 2.4 9세대 (13년~현재)",검정,2017,"오토허브 경매장",,BC
"현대 올 뉴 투싼 (15년~20년) 가솔린 1.6 터보 2WD 스타일",3576,55머0743,오토,자가용,image,156460,900,"현대 올 뉴 투싼 (15년~20년) 가솔린 1.6 터보 2WD 스타일",검정,2017,"오토허브 경매장",,BB
"혼다 올뉴어코드 3.5 8세대 (08년~12년)",3577,21로1388,오토,자가용,image,134409,360,"혼다 올뉴어코드 3.5 8세대 (08년~12년)",기타,2009,"오토허브 경매장",,BB
"폴스타 폴스타 2(22년~현재) 전기 롱레인지 싱글모터",3578,41부3066,오토,렌터카,image,72475,2700,"폴스타 폴스타 2(22년~현재) 전기 롱레인지 싱글모터",흰색,2022,"오토허브 경매장",,BB
"현대 제네시스 DH (13년~현재) G330 프리미엄",3579,10거1246,오토,자가용,image,305627,390,"현대 제네시스 DH (13년~현재) G330 프리미엄",검정,2014,"오토허브 경매장",,BB
"현대 뉴 투싼 ix (13년~15년) 디젤(e-VGT) 2WD 스마트 스페셜",3552,155고1169,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508110154/AT175489410527624_M.jpg,128531,440,"현대 뉴 투싼 ix (13년~15년) 디젤(e-VGT) 2WD 스마트 스페셜",기타,2015,"오토허브 경매장",,BB
"기아 K5 2세대 (15년~18년) 1.7 디젤 SX 프레스티지",3553,43오0406,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508110105/AT1754890560391j9_M.jpg,192709,450,"기아 K5 2세대 (15년~18년) 1.7 디젤 SX 프레스티지",기타,2016,"오토허브 경매장",,BB
"포드 레인저 3세대 2.0 와일트트랙",3554,95노5954,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508110053/AT175487936050253_M.jpg,65795,2600,"포드 레인저 3세대 2.0 와일트트랙",기타,2021,"오토허브 경매장",,AC
