"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 K8 K8 (H) 1.6 노블레스",0683,158누9930,검정,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250811003428.JPG,101747,2430,"K8 (H) 1.6 노블레스",101747,2023,"롯데 경매장",KNAM2411BPA027189,"A / C"
"기아 셀토스 SELTOS (D) 1.6 시그니처 2WD",0684,246러5229,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250806001828.JPG,103678,1650,"SELTOS (D) 1.6 시그니처 2WD",103678,2022,"롯데 경매장",KNAES815GNK305359,"A / C"
"현대 더뉴 그랜드 스타렉스  THE NEW GRAND STAREX(D)2.5 어반 프리미엄 9인",0685,104호5311,타임리스블랙,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250609044228.JPG,108820,1870,"THE NEW GRAND STAREX(D)2.5 어반 프리미엄 9인",108820,2020,"롯데 경매장",KMHWG81KDLU150414,"A / F"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0686,109허1046,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AU20250813000528.JPG,163047,930,"SELTOS (D) 1.6 프레스티지 2WD",163047,2021,"롯데 경매장",KNAEU815GMK135285,"A / F"
"현대 더뉴 그랜드 스타렉스  THE NEW GRAND STAREX(D)2.5 어반 익스클루시브 9인",0687,104허5931,크리미화이트,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250806003228.JPG,42126,2100,"THE NEW GRAND STAREX(D)2.5 어반 익스클루시브 9인",42126,2020,"롯데 경매장",KMHWK81KBLU145468,"A / D"
"현대 올 뉴 투싼 THE ALL NEW TUCSON (G) 1.6 T 프리미엄 2WD",0688,148하9668,타이탄그레이,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250811007328.JPG,105941,1750,"THE ALL NEW TUCSON (G) 1.6 T 프리미엄 2WD",105941,2021,"롯데 경매장",KMHJC81BGMU046236,"A / C"
"현대 코나 KONA (G) 1.6 2WD MODERN POP",0689,07다8421,검정,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250813000628.JPG,60482,1480,"KONA (G) 1.6 2WD MODERN POP",60482,2018,"롯데 경매장",KMHK4815GJU013866,"A / D"
"기아 K9 THE K9 (G) 3.8 플래티넘 베스트셀렉션Ⅰ",0690,319마4920,흰색,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250813001028.JPG,80746,2690,"THE K9 (G) 3.8 플래티넘 베스트셀렉션Ⅰ",80746,2021,"롯데 경매장",KNAS2418DMS028678,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0691,99다3406,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001228.JPG,2274,4990,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",2274,2020,"롯데 경매장",KMFVA17RPLC350518,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0692,99다3413,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001428.JPG,9783,5140,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",9783,2020,"롯데 경매장",KMFVA17RPLC350529,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0693,99다3408,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801000628.JPG,2888,5220,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",2888,2020,"롯데 경매장",KMFVA17RPLC350467,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0694,99다3409,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001128.JPG,1923,5010,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",1923,2020,"롯데 경매장",KMFVA17RPLC350520,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0695,99다3411,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001328.JPG,5804,4890,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",5804,2020,"롯데 경매장",KMFVA17RPLC350525,"A / F"
"기아 카니발 KA4 CARNIVAL KA4 (G)3.5 하이리무진 시그니처 4인 2WD AT",0660,177호1559,"오로라 블랙펄",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250616006128.JPG,19844,6450,"CARNIVAL KA4 (G)3.5 하이리무진 시그니처 4인 2WD AT",19844,2025,"롯데 경매장",KNANE813BSS469589,"A / B"
"현대 현대 제네시스 G80 G80 (G)2.5T 19&#8243;스포크타입/기본 4WD AT",0661,177하8958,"우유니 화이트",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250610009428.JPG,34417,5150,"G80 (G)2.5T 19""스포크타입/기본 4WD AT",34417,2025,"롯데 경매장",KMTGB41CDSU254696,"A / B"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0662,101허3918,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AU20250813000228.JPG,161547,930,"SELTOS (D) 1.6 프레스티지 2WD",161547,2021,"롯데 경매장",KNAEU815GMK128499,"B / F"
"현대 현대 제네시스 G80 GENESIS ELECTRIFIED G80 (E)",0663,18허0705,태즈먼블루,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250612001628.JPG,58665,5140,"GENESIS ELECTRIFIED G80 (E)",58665,2022,"롯데 경매장",KMTGE411PNU004770,"A / C"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0664,133허1084,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AU20250813001628.JPG,166523,930,"SELTOS (D) 1.6 프레스티지 2WD",166523,2021,"롯데 경매장",KNAEU815GMK130157,"A / D"
"현대 GV70 GV70 (G)2.5T 21&#8243;/SDS2 5인 4WD AT",0665,179하1583,"마우나 레드",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250613004928.JPG,6166,5950,"GV70 (G)2.5T 21""/SDS2 5인 4WD AT",6166,2025,"롯데 경매장",KMTMA81BDSU201388,"A / C"
"정보없음 폭스바겐 아테온 VOLKSWAGEN ARTEON (D) 2.0 TDI PRESTIGE",0666,01거4690,검정,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250814000528.JPG,122553,1920,"VOLKSWAGEN ARTEON (D) 2.0 TDI PRESTIGE",122553,2019,"롯데 경매장",WVWZZZ3HZKE012798,"A / B"
"기아 K8 K8 (H) 1.6 노블레스",0667,193허6185,오로라블랙펄,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250811000128.JPG,26044,2720,"K8 (H) 1.6 노블레스",26044,2023,"롯데 경매장",KNAM2411BPA027992,"B / F"
"정보없음 벤츠 A 클래스 BENZ A220 (G) 2.0",0668,182구5592,흰색,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250814000628.JPG,21727,2430,"BENZ A220 (G) 2.0",21727,2020,"롯데 경매장",W1K3F4EB7LJ232516,"A / C"
"현대 현대 제네시스 G80 G80 (G)3.5T 20&#8243;/SDS2+ECS 4WD AT",0669,177호3551,"비크 블랙",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250613003928.JPG,15548,5700,"G80 (G)3.5T 20""/SDS2+ECS 4WD AT",15548,2025,"롯데 경매장",KMTGC41DDSU239031,"A / B"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0670,104허6451,스노우화이트펄,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250731004028.JPG,174143,900,"SELTOS (D) 1.6 프레스티지 2WD",174143,2021,"롯데 경매장",KNAEU815GMK126695,"A / D"
"기아 기아 EV6 EV6 (E) 롱레인지 어스 2WD",0671,29하6041,인터스텔라그레이,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250731007528.JPG,24500,2700,"EV6 (E) 롱레인지 어스 2WD",24500,2022,"롯데 경매장",KNAC381AFNA011200,"A / D"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0672,104허6512,스노우화이트펄,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250731004128.JPG,166680,900,"SELTOS (D) 1.6 프레스티지 2WD",166680,2021,"롯데 경매장",KNAEU815GMK126683,"A / F"
"기아 쏘렌토 MQ4 SORENTO MQ4 (H) 1.6 터보 프레스티지 5인승",0673,190호6638,기타,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250808002228.JPG,133205,1830,"SORENTO MQ4 (H) 1.6 터보 프레스티지 5인승",133205,2022,"롯데 경매장",KNARL81GBNA124566,"F / F"
"정보없음 볼보 S60 VOLVO S60 B5 AWD INSCRIPTION (G) 2.0",0674,165하7654,흰색,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250813002528.JPG,59224,3000,"VOLVO S60 B5 AWD INSCRIPTION (G) 2.0",59224,2022,"롯데 경매장",7JRZSL12DNG177540,"A / C"
"현대 올 뉴 아반떼 ALL NEW AVANTE (G) 1.6 MODERN",0675,114너9420,기타,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250806002128.JPG,126948,1200,"ALL NEW AVANTE (G) 1.6 MODERN",126948,2021,"롯데 경매장",KMHLM41EEMU225799,"A / D"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0676,109허1054,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AU20250813000628.JPG,165635,930,"SELTOS (D) 1.6 프레스티지 2WD",165635,2021,"롯데 경매장",KNAEU815GMK135598,"A / D"
"정보없음 볼트 BOLT EV (E) PREMIER",0677,54허3139,퓨어화이트,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250811008028.JPG,62141,1260,"BOLT EV (E) PREMIER",62141,2019,"롯데 경매장",1G1F76E04K4132880,"A / D"
"현대 코나 KONA ELECTRIC (E) MODERN",0678,29하2072,쵸크화이트,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250714001728.JPG,171856,980,"KONA ELECTRIC (E) MODERN",171856,2019,"롯데 경매장",KMHK281GFKU042063,"B / D"
"현대 올 뉴 투싼 ALL NEW TUCSON (D) 2.0 4WD MODERN",0679,23거4769,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/SA20250808002728.JPG,131576,1010,"ALL NEW TUCSON (D) 2.0 4WD MODERN",131576,2016,"롯데 경매장",KMHJ381ADGU095500,"A / D"
"현대 현대 제네시스 G80 G80 (G)3.5T 20&#8243;/SDS2+ECS 4WD AT",0680,222호3195,"태즈먼 블루",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202506/KS20250610006928.JPG,18518,5550,"G80 (G)3.5T 20""/SDS2+ECS 4WD AT",18518,2025,"롯데 경매장",KMTGC41DDSU238766,"A / B"
"정보없음 볼트 BOLT EV (E) PREMIER",0681,54허3152,퓨어화이트,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250811008328.JPG,91776,1170,"BOLT EV (E) PREMIER",91776,2019,"롯데 경매장",1G1F76E06K4132363,"A / F"
"기아 셀토스 SELTOS (D) 1.6 프레스티지 2WD",0682,109허1034,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AU20250813000428.JPG,163613,930,"SELTOS (D) 1.6 프레스티지 2WD",163613,2021,"롯데 경매장",KNAEU815GMK133124,"A / F"
"기아 K8 K8 (H) 1.6 노블레스_보조사양미적용",0636,148호9398,인터스텔라그레이,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250807001728.JPG,94203,1870,"K8 (H) 1.6 노블레스_보조사양미적용",94203,2022,"롯데 경매장",KNAM2411BNA003556,"F / F"
"현대 제네시스 GENESIS (G) 3.3 G330 MODERN",0637,49고1715,기타,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/SA20250708001528.JPG,197398,430,"GENESIS (G) 3.3 G330 MODERN",197398,2015,"롯데 경매장",KMHGL41DDFU084437,"F / F"
"기아 NIRO NIRO PLUS (E) 에어",0638,38허0923,스틸그레이,전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250716006028.JPG,12587,2150,"NIRO PLUS (E) 에어",12587,2024,"롯데 경매장",KNAA181GFRT014126,"A / D"
