"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"대우 말리부 MALIBU (G) 2.0 터보 LT 프리미엄",0795,01너0466,기타,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/SA20250721001228.JPG,138172,630,"MALIBU (G) 2.0 터보 LT 프리미엄",138172,2017,"롯데 경매장",KLAZA69XDHB700557,"A / D"
"현대 그랜저 GN7 GRANDEUR GN7 (H)1.6T 익스클루시브 2WD AT",0796,238어7362,어비스블랙펄,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202411/KS20241120002928.JPG,27018,3280,"GRANDEUR GN7 (H)1.6T 익스클루시브 2WD AT",27018,2023,"롯데 경매장",KMHN2411BPA035511,"A / C"
"기아 봉고 3 BONGO (D) 2.5 1톤 2WD 킹캡 초장축 디럭스",0797,82더0975,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/AS20250724000228.JPG,90951,970,"BONGO (D) 2.5 1톤 2WD 킹캡 초장축 디럭스",90951,2019,"롯데 경매장",KNCSJZ76AKK371799,"F / F"
"현대 포터 PORTER II (D) 2.5 더블캡 초장축 STYLE 2WD",0798,84가6014,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/AS20250722000228.JPG,126273,740,"PORTER II (D) 2.5 더블캡 초장축 STYLE 2WD",126273,2019,"롯데 경매장",KMFZCY7KBKU706093,"F / F"
"정보없음 마이티 MIGHTY",0799,83마0411,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/SA20250721001828.JPG,90142,570,MIGHTY,90142,2019,"롯데 경매장",KRGPAMF2JKB190325,"A / F"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0800,99다3411,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001328.JPG,5794,5150,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",5794,2020,"롯데 경매장",KMFVA17RPLC350525,"A / F"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0801,99다3406,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001228.JPG,2274,5250,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",2274,2020,"롯데 경매장",KMFVA17RPLC350518,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0802,99다3409,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001128.JPG,1923,5270,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",1923,2020,"롯데 경매장",KMFVA17RPLC350520,"A / D"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0803,99다3412,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/AS20250801001528.JPG,3296,5200,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",3296,2020,"롯데 경매장",KMFVA17RPLC350519,"A / F"
"현대 올 뉴 마이티 ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",0804,98조7298,흰색,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/AS20250731000228.JPG,2718,4990,"ALL NEW MIGHTY(D)2.5톤 단축 내로우캡 하이슈퍼 다산중공업",2718,2020,"롯데 경매장",KMFVA17RPLC350524,"A / F"
