"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[BMW] X6(2세대) 30d xDrive",6011,16마9609,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250800508%2FD250800508_02_03.jpg%3F20250811163658&type=m&w=800&h=500&quality=90&ttype=jpg,203798,1580,"[BMW] X6(2세대) 30d xDrive",A/T,2015,"현대 경매장",WBAKV2106F0N17376,"A / 4"
"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",6012,102거3247,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2505%2FD250502348%2FD250502348_02_03.jpg%3F20250604154658&type=m&w=800&h=500&quality=90&ttype=jpg,74,6180,"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",A/T,2024,"현대 경매장",W1KLF0FB9RA036786,"A / 9"
"[포드] 익스플로러(5세대) 3.5 V6 4WD 리미티드",6013,66소5770,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2507%2FD250705762%2FD250705762_02_03.jpg%3F20250724134827&type=m&w=800&h=500&quality=90&ttype=jpg,113731,760,"[포드] 익스플로러(5세대) 3.5 V6 4WD 리미티드",A/T,2015,"현대 경매장",1FM5K8F81FGB77731,"A / 7"
"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",6014,102거3248,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2505%2FD250502349%2FD250502349_02_03.jpg%3F20250604160238&type=m&w=800&h=500&quality=90&ttype=jpg,76,6180,"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",A/T,2024,"현대 경매장",W1KLF0FBXRA036764,"A / 9"
"[아우디] A6(5세대) 45 TFSI",6015,349너8019,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2507%2FD250706140%2FD250706140_02_03.jpg%3F20250704102736&type=m&w=800&h=500&quality=90&ttype=jpg,28577,3930,"[아우디] A6(5세대) 45 TFSI",A/T,2023,"현대 경매장",WAUZZZF2XPN060176,"A / 8"
"[벤츠] C클래스(4세대) C200 아방가르드",6016,162마6742,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2507%2FD250705167%2FD250705167_02_03.jpg%3F20250718104325&type=m&w=800&h=500&quality=90&ttype=jpg,102104,1375,"[벤츠] C클래스(4세대) C200 아방가르드",A/T,2017,"현대 경매장",WDDWF4CB2HF403828,"A / 4"
"[미니] 쿠퍼(3세대) 2.0 S",6017,52라8028,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2507%2FD250700174%2FD250700174_02_03.jpg%3F20250805125932&type=m&w=800&h=500&quality=90&ttype=jpg,52332,1060,"[미니] 쿠퍼(3세대) 2.0 S",A/T,2018,"현대 경매장",WMWXP7106J3B32181,"A / 5"
"[시트로엥] DS3 1.6 e-HDI 비 시크",6018,48두4297,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250800355%2FD250800355_02_03.jpg%3F20250820161844&type=m&w=800&h=500&quality=90&ttype=jpg,173427,165,"[시트로엥] DS3 1.6 e-HDI 비 시크",SAT,2015,"현대 경매장",VF7SA9HP8FW500528,"A / 6"
"[아우디] A6(5세대) 45 TFSI",6019,389버7584,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250801089%2FD250801089_02_03.jpg%3F20250704100657&type=m&w=800&h=500&quality=90&ttype=jpg,27720,3740,"[아우디] A6(5세대) 45 TFSI",A/T,2023,"현대 경매장",WAUZZZF23PN074226,"A / 7"
"[BMW] 5시리즈(7세대) 530i M스포츠팩 플러스",6020,365마4977,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250800552%2FD250800552_02_03.jpg%3F20250818103430&type=m&w=800&h=500&quality=90&ttype=jpg,98948,2270,"[BMW] 5시리즈(7세대) 530i M스포츠팩 플러스",A/T,2017,"현대 경매장",WBAJD3107HG475931,"A / 7"
