"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"BMW 3시리즈 GT GT 320d F34 (13년~현재)",3565,10소4078,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250180/AT175611060839708_M.jpg,106671,1300,"BMW 3시리즈 GT GT 320d F34 (13년~현재)",흰색,2018,"오토허브 경매장",,BB
"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 플러스",3566,159허1079,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250007/AT1756107045759a6_M.jpg,126538,1320,"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 플러스",검정,2022,"오토허브 경매장",,BB
"현대 그랜드 스타렉스 (07년~현재) 5인승 밴 CVX 럭셔리",3567,86수8063,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250317/AT1756170422040b0_M.jpg,153921,360,"현대 그랜드 스타렉스 (07년~현재) 5인승 밴 CVX 럭셔리",기타,2011,"오토허브 경매장",,CF
"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",3568,163하1733,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508220125/AT175610863653239_M.jpg,168255,1100,"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",흰색,2022,"오토허브 경매장",,AB
"르노삼성 뉴 SM3 (09년~14년) SE 플러스",3569,23조1966,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250184/AT1756111584916xf_M.jpg,143118,70,"르노삼성 뉴 SM3 (09년~14년) SE 플러스",기타,2013,"오토허브 경매장",,BC
"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 플러스",3570,159허1081,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250006/AT175610726656414_M.jpg,102580,1430,"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 플러스",검정,2022,"오토허브 경매장",,BB
"벤츠 NEW E-클래스 E300 엘레강스 W212 (09년~17년)",3571,235가3440,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508200827/AT175617086922158_M.jpg,59940,920,"벤츠 NEW E-클래스 E300 엘레강스 W212 (09년~17년)",기타,2012,"오토허브 경매장",,BB
"현대 더 뉴 그랜져 IG 가솔린2500cc 익스클루시브",3572,159하9911,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250014/AT1756107999141da_M.jpg,77787,2130,"현대 더 뉴 그랜져 IG 가솔린2500cc 익스클루시브",검정,2021,"오토허브 경매장",,BB
"포드 머스탱 GT 쿠페",3573,11부2204,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508250230/AT175610922276892_M.jpg,46488,2255,"포드 머스탱 GT 쿠페",기타,2015,"오토허브 경매장",,BB
"현대 포터2 1톤 카고(화물)트럭 일반캡 CRDI",3574,83가7518,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508200838/AT175610759241682_M.jpg,270064,430,"현대 포터2 1톤 카고(화물)트럭 일반캡 CRDI",기타,2017,"오토허브 경매장",,CC
