"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 니로(16년~현재) 프레스티지",3495,35어9883,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180095/AT1755493045422h6_M.jpg,121452,785,"기아 니로(16년~현재) 프레스티지",흰색,2017,"오토허브 경매장",,CC
"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",3496,63라9596,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180054/AT175549317975333_M.jpg,247270,430,"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",흰색,2011,"오토허브 경매장",,BD
"기아 올 뉴 K7(16년~현재) 3.0 LPI 렌트카 럭셔리 .",3497,342모4250,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180265/AT175556339247445_M.jpg,180980,600,"기아 올 뉴 K7(16년~현재) 3.0 LPI 렌트카 럭셔리 .",기타,2018,"오토허브 경매장",,BC
"아우디 NEW A6 35 TDI 프리미엄 C7(14년~현재)",3498,17두4652,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180069/AT175549348747215_M.jpg,193742,880,"아우디 NEW A6 35 TDI 프리미엄 C7(14년~현재)",흰색,2016,"오토허브 경매장",,CB
"벤츠 NEW E-클래스 E250 CDI 4MATIC W212 (13년~14년)",3499,351다4028,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180064/AT1755495993941se_M.jpg,263988,850,"벤츠 NEW E-클래스 E250 CDI 4MATIC W212 (13년~14년)",기타,2014,"오토허브 경매장",,AB
"기아 All New 프라이드 (11년~14년) 1.4 MPI 해치백 디럭스",3500,64마2645,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180058/AT1755495883256r6_M.jpg,35404,485,"기아 All New 프라이드 (11년~14년) 1.4 MPI 해치백 디럭스",흰색,2014,"오토허브 경매장",,AD
"기아 K5 2세대 (15년~18년) 1.6 터보 SX 노블레스",3501,56모6588,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180007/AT175549582877262_M.jpg,170587,690,"기아 K5 2세대 (15년~18년) 1.6 터보 SX 노블레스",기타,2017,"오토허브 경매장",,BB
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",3502,307부1859,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180127/AT1755497368926p0_M.jpg,93115,2470,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",검정,2021,"오토허브 경매장",,BB
"현대 더 뉴 그랜드 스타렉스 5인승 디젤 밴 스마트",3503,82마0604,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180112/AT175549506185135_M.jpg,128697,1000,"현대 더 뉴 그랜드 스타렉스 5인승 디젤 밴 스마트",은색,2019,"오토허브 경매장",,BB
"벤츠 NEW E-클래스 E220 블루텍 아방가르드 W212 (15년~현재)",3504,333노6750,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202507/IP202507230459/AT175548284160736_M.jpg,205226,650,"벤츠 NEW E-클래스 E220 블루텍 아방가르드 W212 (15년~현재)",흰색,2016,"오토허브 경매장",,BB
"기아 레이 (11년~17년) 프레스티지",3505,42수2814,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180111/AT175549561843629_M.jpg,206929,280,"기아 레이 (11년~17년) 프레스티지",기타,2016,"오토허브 경매장",,CD
"기아 All New 모닝(JA) (17년~현재) 1.0 LPi 디럭스",3506,388모8714,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508150002/AT1755483326769w7_M.jpg,149084,400,"기아 All New 모닝(JA) (17년~현재) 1.0 LPi 디럭스",흰색,2018,"오토허브 경매장",,AC
"아우디 NEW A8 4.2 FSI 콰트로 D4 (10년~12년)",3507,69저2100,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508180063/AT175549571266487_M.jpg,278585,450,"아우디 NEW A8 4.2 FSI 콰트로 D4 (10년~12년)",기타,2011,"오토허브 경매장",,DB
