"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[지프] 컴패스(MP) 2.4 AWD 리미티드",8172,175루4252,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801008%2FA250801008_02_03.jpg%3F20250813130448&type=m&w=800&h=500&quality=90&ttype=jpg,16338,2400,"[지프] 컴패스(MP) 2.4 AWD 리미티드",A/T,2022,"현대 경매장",3C4NJDCB1NT176833,"A / 8"
"[기아] 쏘렌토 R 디젤 2.0 2WD TLX 최고급형",8150,24주6788,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801155%2FA250801155_02_03.jpg%3F20250813171418&type=m&w=800&h=500&quality=90&ttype=jpg,105758,365,"[기아] 쏘렌토 R 디젤 2.0 2WD TLX 최고급형",A/T,2010,"현대 경매장",KNAKU815BAA021327,"B / 1"
"[기아] EV6 롱 레인지 4WD GT 라인",8151,63누1071,,전기,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800854%2FA250800854_02_03.jpg%3F20250813160637&type=m&w=800&h=500&quality=90&ttype=jpg,14605,4710,"[기아] EV6 롱 레인지 4WD GT 라인",A/T,2024,"현대 경매장",KNAC581CPRA177621,"A / 8"
"[현대] 포터II 일렉트릭 카고 프리미엄 스페셜",8152,88가1790,,전기,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800565%2FA250800565_02_03.jpg%3F20250813172531&type=m&w=800&h=500&quality=90&ttype=jpg,213818,910,"[현대] 포터II 일렉트릭 카고 프리미엄 스페셜",A/T,2021,"현대 경매장",KMFZCZ7NFMU018199,"A / 4"
"[기아] 봉고Ⅲ화물 냉동탑차 1톤 킹캡",8153,84어6715,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801261%2FA250801261_02_03.jpg%3F20250813174556&type=m&w=800&h=500&quality=90&ttype=jpg,209159,336,"[기아] 봉고Ⅲ화물 냉동탑차 1톤 킹캡",M/T,2014,"현대 경매장",KNFSTZ76AEK921819,"A / 1"
"[현대] 싼타페(CM) 2.0 e-VGT 2WD MLX 럭셔리",8154,46부2085,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801260%2FA250801260_02_03.jpg%3F20250812134704&type=m&w=800&h=500&quality=90&ttype=jpg,216729,227,"[현대] 싼타페(CM) 2.0 e-VGT 2WD MLX 럭셔리",A/T,2012,"현대 경매장",KMHSJ81UBCU891578,"A / 1"
"[르노(삼성)] QM5 가솔린 2WD 씨티 RE25",8155,27오7160,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801257%2FA250801257_02_03.jpg%3F20250812173135&type=m&w=800&h=500&quality=90&ttype=jpg,162215,200,"[르노(삼성)] QM5 가솔린 2WD 씨티 RE25",A/T,2011,"현대 경매장",KNME5D2NMBP029804,"A / 1"
"[현대] 포터II 하이내장탑차 슈퍼캡",8156,96머3973,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801254%2FA250801254_02_03.jpg%3F20250812133553&type=m&w=800&h=500&quality=90&ttype=jpg,79159,691,"[현대] 포터II 하이내장탑차 슈퍼캡",M/T,2017,"현대 경매장",KMFZSZ7KAHU392834,"A / 6"
"[기아] 스포티지 R 디젤 R2.0 2WD TLX 고급형",8157,20주9532,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801251%2FA250801251_02_03.jpg%3F20250812115121&type=m&w=800&h=500&quality=90&ttype=jpg,193366,395,"[기아] 스포티지 R 디젤 R2.0 2WD TLX 고급형",A/T,2012,"현대 경매장",KNAPB813BCK359957,"A / 4"
"[현대] 포터II CRDi 슈퍼캡 초장축 슈퍼",8158,81도6355,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801262%2FA250801262_02_03.jpg%3F20250813111648&type=m&w=800&h=500&quality=90&ttype=jpg,200564,477,"[현대] 포터II CRDi 슈퍼캡 초장축 슈퍼",M/T,2015,"현대 경매장",KMFZCZ7KAFU101463,"A / 1"
